,0
0,1.086307482212293
1,1.1705353826375993
2,1.1178197838189579
3,1.363460559311084
4,0.9436915613606955
5,1.0023916910169506
6,1.7898567052140555
7,1.3055605302209974
8,1.8803434925216895
9,1.2892946134171348
10,1.2827087741718557
11,1.6971344682075105
12,1.092589914508623
13,1.6603413055554952
14,1.116982589743697
15,0.9685680419187457
16,1.818231553839081
17,1.2444392272561595
18,1.6233637763210107
19,1.4700672039074665
20,2.087370574269619
21,2.2633823460789046
22,2.1275915405182126
23,2.666537741812326
24,2.2719940772046243
25,2.598667852636801
26,2.1586453878190746
27,-2.2866184658594952
28,-3.7001086682630815
29,-5.311893013717664
30,-6.059298958890149
31,-7.904988096170737
32,-15.28967716812362
